"HBID","dti_dtitk_jhutract_fa_atr_l","dti_dtitk_jhutract_fa_atr_r","dti_dtitk_jhutract_fa_cst_l","dti_dtitk_jhutract_fa_cst_r","dti_dtitk_jhutract_fa_cgc_l","dti_dtitk_jhutract_fa_cgc_r","dti_dtitk_jhutract_fa_cgh_l","dti_dtitk_jhutract_fa_cgh_r","dti_dtitk_jhutract_fa_forceps_mjor","dti_dtitk_jhutract_fa_forceps_minor","dti_dtitk_jhutract_fa_ifo_l","dti_dtitk_jhutract_fa_ifo_r","dti_dtitk_jhutract_fa_ilf_l","dti_dtitk_jhutract_fa_ilf_r","dti_dtitk_jhutract_fa_slf_l","dti_dtitk_jhutract_fa_slf_r","dti_dtitk_jhutract_fa_uf_l","dti_dtitk_jhutract_fa_uf_r"
1486478124,0.35829,0.3526,0.53702,0.5297,0.52173,0.48962,0.37001,0.37455,0.52399,0.41943,0.41792,0.4309,0.42048,0.48817,0.35975,0.36291,0.42164,0.4192
3388790720,0.36225,0.34463,0.55371,0.56492,0.52608,0.55314,0.42171,0.38654,0.60473,0.43947,0.44035,0.43029,0.4633,0.4829,0.36556,0.38079,0.41815,0.40852
2861074432,0.38836,0.38228,0.58078,0.56033,0.52852,0.50435,0.38117,0.38919,0.58958,0.44331,0.46243,0.45145,0.47418,0.50966,0.37892,0.37215,0.43571,0.43432
2260339113,0.39186,0.38384,0.58768,0.58025,0.5607,0.51851,0.4916,0.46054,0.61755,0.47528,0.43272,0.44523,0.45007,0.48779,0.36094,0.40217,0.43447,0.39168
316083542,0.38266,0.37143,0.54051,0.54717,0.52664,0.52017,0.38838,0.36559,0.59364,0.44635,0.45169,0.44895,0.48534,0.50206,0.3702,0.3855,0.41374,0.4223
3775337602,0.37544,0.35185,0.52722,0.5427,0.58438,0.53916,0.38622,0.38063,0.54291,0.4397,0.4303,0.42666,0.43764,0.47391,0.35042,0.3799,0.42576,0.42447
1531579702,0.37625,0.35622,0.54112,0.54004,0.53918,0.58261,0.33796,0.32597,0.59282,0.43666,0.40246,0.40711,0.44024,0.43297,0.36518,0.3718,0.41105,0.4227
765448154,,,,,,,,,,,,,,,,,,
3588536075,0.36413,0.36776,0.53208,0.536,0.57575,0.54446,0.38243,0.35477,0.56677,0.40287,0.44462,0.4311,0.44315,0.44507,0.3682,0.37666,0.40825,0.43087
2287331385,,,,,,,,,,,,,,,,,,
20654339,0.3935,0.37095,0.54898,0.55272,0.60063,0.6024,0.40604,0.40339,0.57683,0.43266,0.45281,0.44878,0.4657,0.46947,0.35651,0.36623,0.40959,0.40018
3376556122,0.36646,0.29913,0.56724,0.55906,0.5139,0.42136,0.34622,0.34598,0.57692,0.34548,0.39414,0.40939,0.45779,0.44109,0.35908,0.3658,0.49341,0.39846
613521073,0.39697,0.36501,0.54902,0.54899,0.56464,0.59663,0.29937,0.33359,0.58032,0.41166,0.42902,0.45288,0.41713,0.47675,0.37999,0.38619,0.39964,0.41402
2102356124,0.38692,0.36833,0.53332,0.52151,0.57599,0.55332,0.44676,0.4134,0.55301,0.42985,0.44015,0.44069,0.46961,0.49867,0.3786,0.39153,0.40185,0.40334
481393348,0.39961,0.38088,0.54482,0.55858,0.56096,0.47601,0.37196,0.3739,0.60934,0.45046,0.42899,0.44011,0.46292,0.51848,0.36484,0.38588,0.40258,0.46595
2532217587,,,,,,,,,,,,,,,,,,
2305333358,,,,,,,,,,,,,,,,,,
1418080678,0.39373,0.36248,0.57518,0.5698,0.5473,0.5069,0.41292,0.39375,0.60365,0.43195,0.45303,0.44918,0.44319,0.47434,0.38341,0.41069,0.41233,0.43905
2755772031,0.37437,0.34319,0.53729,0.51732,0.50298,0.47202,0.38205,0.36952,0.60192,0.41687,0.42382,0.43079,0.44494,0.46303,0.36981,0.33424,0.39473,0.41436
1890085688,0.38936,0.38103,0.56988,0.58134,0.5611,0.521,0.41276,0.45192,0.54524,0.45556,0.43156,0.4181,0.46931,0.48963,0.37102,0.38765,0.40183,0.39354
1034657997,0.38176,0.3705,0.55172,0.54176,0.60536,0.56462,0.39823,0.34891,0.51407,0.427,0.43967,0.46214,0.48282,0.50763,0.40894,0.39831,0.40534,0.43311
1897596912,0.39275,0.37085,0.54276,0.55942,0.58376,0.59729,0.42488,0.43233,0.60568,0.46411,0.45306,0.46497,0.47966,0.477,0.38108,0.40403,0.44272,0.45529
2363602447,0.37744,0.36104,0.53502,0.55882,0.5371,0.47342,0.35529,0.39021,0.58987,0.43218,0.4405,0.44934,0.45209,0.49443,0.36199,0.38679,0.433,0.43213
1686994200,0.38538,0.35086,0.52465,0.54029,0.53054,0.49804,0.39758,0.35924,0.58916,0.41224,0.40274,0.42306,0.44192,0.46971,0.34952,0.37344,0.41024,0.42345
1946601524,0.38223,0.37716,0.58895,0.58959,0.63853,0.64045,0.46094,0.47311,0.58396,0.46419,0.49075,0.4848,0.49931,0.55157,0.40602,0.43071,0.46049,0.42996
3046377301,0.37698,0.34641,0.57995,0.58481,0.53074,0.42953,0.41984,0.38741,0.56637,0.46682,0.43597,0.45436,0.46177,0.50996,0.38151,0.40822,0.43752,0.45971
2370146678,0.39097,0.36831,0.55354,0.54699,0.53472,0.43514,0.36299,0.40396,0.59932,0.436,0.44964,0.46852,0.4682,0.52067,0.3848,0.4178,0.43128,0.41719
4266934296,0.38444,0.37337,0.56398,0.56736,0.55666,0.53488,0.40764,0.352,0.56786,0.40637,0.42872,0.44417,0.45014,0.48203,0.34241,0.40157,0.40268,0.40175
56391123,0.39185,0.37335,0.52861,0.54918,0.59053,0.57926,0.39889,0.36915,0.59905,0.44332,0.45566,0.4625,0.47176,0.50759,0.39572,0.42519,0.42415,0.42358
902707040,0.38421,0.36594,0.51719,0.53618,0.5754,0.52112,0.3925,0.41728,0.57386,0.44847,0.44569,0.45854,0.44496,0.51081,0.36949,0.39998,0.41706,0.39957
3182716794,0.36814,0.36833,0.54862,0.54999,0.53602,0.47179,0.43161,0.37315,0.61691,0.42782,0.44089,0.43874,0.48253,0.5202,0.39084,0.39493,0.44253,0.43069
2957633895,0.38564,0.37542,0.56312,0.58297,0.56642,0.57137,0.38031,0.34627,0.57465,0.45422,0.45736,0.45602,0.44377,0.4927,0.39162,0.39239,0.42157,0.4474
3744215128,0.36726,0.36059,0.57133,0.58086,0.57218,0.49165,0.39899,0.41149,0.55174,0.42302,0.46509,0.47454,0.4783,0.4869,0.38659,0.41306,0.41041,0.42504
176635263,0.3898,0.3805,0.56334,0.54769,0.55133,0.5355,0.38849,0.43532,0.55364,0.43037,0.44405,0.45862,0.46352,0.48995,0.34568,0.37473,0.43055,0.42236
3944436839,0.36699,0.35416,0.53349,0.55441,0.5471,0.56623,0.42054,0.39757,0.57638,0.43868,0.43244,0.42879,0.45799,0.48742,0.36987,0.392,0.43156,0.43713
1046150284,0.37442,0.35506,0.52508,0.53702,0.58182,0.60741,0.38447,0.38413,0.59938,0.43504,0.41631,0.42496,0.43869,0.47611,0.35389,0.36315,0.40996,0.42096
969429067,0.39627,0.3703,0.59222,0.59785,0.57963,0.56295,0.4108,0.34674,0.56607,0.4502,0.43736,0.44326,0.46072,0.44748,0.37629,0.3854,0.44087,0.46941
3885303335,0.37572,0.34952,0.53662,0.53954,0.54772,0.56359,0.38588,0.27978,0.51587,0.4194,0.42066,0.41383,0.40909,0.41631,0.34046,0.38101,0.44191,0.43677
3514026778,,,,,,,,,,,,,,,,,,
2571584363,,,,,,,,,,,,,,,,,,
164340311,0.40194,0.39132,0.55967,0.55645,0.56226,0.61455,0.43333,0.40764,0.62221,0.46634,0.43544,0.46212,0.44398,0.48457,0.35359,0.35888,0.41034,0.40436
1510661513,0.39048,0.37243,0.54981,0.55593,0.52778,0.5114,0.31158,0.34819,0.6013,0.44296,0.44929,0.43859,0.45852,0.48403,0.35232,0.39444,0.39054,0.44185
387676254,0.36722,0.36692,0.52953,0.52398,0.57329,0.55321,0.2968,0.29009,0.48095,0.42421,0.45119,0.46496,0.48404,0.52472,0.39332,0.399,0.4212,0.45321
2637186896,0.38773,0.36338,0.55352,0.56111,0.54792,0.52787,0.433,0.41081,0.54799,0.45331,0.44405,0.44765,0.47032,0.49936,0.36966,0.40011,0.42005,0.45557
2941595782,0.35095,0.35798,0.56346,0.54115,0.59428,0.532,0.43617,0.38038,0.57134,0.46461,0.43676,0.43857,0.45432,0.50151,0.39028,0.39873,0.43803,0.4501
4052704078,0.37806,0.35749,0.54444,0.54178,0.53816,0.54043,0.37822,0.34388,0.60459,0.43845,0.42992,0.43505,0.46796,0.47485,0.37551,0.40866,0.38011,0.42385
2144166108,0.39646,0.35921,0.57235,0.55964,0.55367,0.54399,0.41015,0.35986,0.5299,0.42651,0.41589,0.4144,0.42159,0.46079,0.34744,0.3609,0.39287,0.42814
